app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result
1,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",Soul App个人信息保护政策,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
2,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",更新日期：2023年11月21日,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
3,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",生效日期：2023年11月28日,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
4,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","Soul App是由上海任意门科技有限公司及其关联公司（注册地址为：中国（上海）自由贸易试验区芳春路400号1幢3层304室，以下简称""我们""或""Soul""）为用户（以下简称""您""，详情请查阅关键词定义）提供的社交类应用软件，包括移动应用、小程序及快应用（以下简称""Soul App""）。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
5,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","我们通过Soul App为您提供""灵魂匹配、发帖回复、聊天""等功能，我们现在或将来还可能为您提供其他产品与/或服务（以下简称""Soul产品与/或服务或本产品与/或服务""，详情请查阅关键词定义）。","{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
6,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","我们根据《中华人民共和国个人信息保护法》和《中华人民共和国网络安全法》等相关法律法规制定《Soul App个人信息保护政策》（以下简称""本政策""）并保护您的个人信息安全。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
7,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",所有Soul产品与/或服务均适用本政策。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
8,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",本政策介绍了我们在向您提供Soul产品与/或服务的过程中处理您个人信息的目的、方式、范围、保存期限和信息安全保护措施，以及您行使法律规定权利的方式和程序。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
9,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您知悉，Soul不使用Cookie或其他同类技术追踪您的个人信息。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
10,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您结合我们的《Soul App用户服务协议》仔细阅读本政策，并在同意本政策约定内容的情况下使用Soul产品与/或服务。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
11,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","对所有重点内容，我们将采用""加粗""的书写方式进行提示。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
12,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","对于个人敏感信息，我们采用""加粗斜体""的书写方式进行特别提醒，希望您在阅读时特别关注。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
13,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",在您向我们提供您的任何个人敏感信息前，您已慎重考虑并在此确认该等提供是适当的，您在此同意您的个人敏感信息可按照本政策所述的目的和方式进行处理。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
14,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",个人信息权利的实现方式包括但不限于查阅、复制、更正、补充、删除、注销、撤回授权、要求我们解释说明本政策、及时得到响应等，以确保您实现对您个人信息的控制权。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
15,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们会严格依据本政策以及您的同意处理您的个人信息。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
16,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如您不同意本政策，您应当停止使用Soul产品与/或服务。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
17,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您理解，Soul App经更新后，如果您是小于18周岁的未成年人，请您不要注册Soul App。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
18,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",若您是小于18周岁的未成年人但在Soul App（版本号： 3.8.36）更新前已注册了Soul账号，我们将为您提供青少年保护服务模式。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
19,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",关于青少年保护服务模式的具体内容及限制，请以实际页面展示为准。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
20,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何收集和使用您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
21,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何委托处理、共享、转让及披露您的个人信息,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
22,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您如何管理您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
23,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何存储您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
24,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何保护您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
25,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何保护未成年人个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
26,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何更新本政策,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
27,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何联系我们,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
28,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",附则,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
29,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",关键词定义,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
30,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何收集和使用您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
31,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",向您提供产品与/或服务过程中您主动提供的个人信息,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
32,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",为实现我们的基本业务功能，我们需要向您收集以下个人信息，若您拒绝提供，我们将无法向您提供相应的服务。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
33,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",提示您注意： 您在Soul App所上传或发布的任何内容，如果含有他人的个人信息，请您确保已经获得个人信息主体的同意；,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
34,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如果含有他人的敏感个人信息，请您确保已经获得个人信息主体的单独同意。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
35,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",账号注册、登录与验证,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
36,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您在Soul App中注册Soul账号时，您需要向我们提供下述信息以完成注册：,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
37,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",1）您的手机号码及短信验证码：我们会基于您提供的手机号码向您发送短信验证码，用于验证您的身份。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
38,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如果您不提供您收到的短信验证码，将导致注册失败，您也将无法注册并继续使用本产品与/或服务。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
39,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",提示您注意，您提供的手机号码将作为您后续使用Soul App的用户账号并作为登录本产品的用户身份凭证。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
40,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",2）密码信息：您也可以为您的账号设置登录密码，该信息非必要提供，您有权选择使用手机号码加密码进行登录或者仅通过手机验证码登录。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
41,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",3）第三方用户信息：如果您选择使用第三方用户账号登录的，您同意我们根据您的选择情况收集您的微信昵称、头像和/或Apple用户名、邮箱名。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
42,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",4）出生年月日：我们会基于您提供的出生年月日判断您的年龄，如果您低于18周岁或者在注册时不向我们提供您的出生年月日信息的，您将无法注册成为我们的用户并继续使用本产品与/或服务。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
43,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",5）性别及昵称：我们会基于您提供的性别信息为您提供性别匹配服务，如果您不提供此类信息，将导致注册失败，您将无法注册并继续使用本产品与/或服务。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
44,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",6)「灵魂测试」答题情况：您需要回答我们为您设置的测试题以完成注册，我们会基于您的回答结果将您分配至适合您的虚拟社区「星球」（详情请查阅关键词定义），此分配不会对您的权益造成任何实质性的影响。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
45,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",此外，我们还会根据您的回答结果对您的性格进行初步判断，便于后续为您匹配或推荐适合您的聊天对象及「动态瞬间」（详情请查阅关键词定义）。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
